Year,Country,Yield,Rainfall_mm_per_year,Avg_Temp_C,Pesticides_tonnes
1990,Albania,36613,1485.0,16.37,121.0
1991,Albania,29068,1485.0,15.36,121.0
1992,Albania,24876,1485.0,16.06,121.0
1993,Albania,24185,1485.0,16.05,121.0
1994,Albania,25848,1485.0,16.96,201.0
1995,Albania,31300,1485.0,15.67,251.0
1996,Albania,32604,1485.0,15.64,313.96
1997,Albania,31862,1485.0,15.9,376.93
1998,Albania,33416,1485.0,16.27,439.89
1999,Albania,37455,1485.0,16.57,502.86
2000,Albania,38811,1485.0,16.67,565.82
2001,Albania,38135,1485.0,16.59,628.79
2002,Albania,39460,1485.0,16.47,691.75
2004,Albania,46197,1485.0,16.16,817.68
2005,Albania,45442,1485.0,15.67,880.64
2006,Albania,50111,1485.0,15.92,943.61
2007,Albania,46732,1485.0,16.67,1006.57
2008,Albania,50000,1485.0,16.71,1069.54
2009,Albania,55693,1485.0,16.73,1132.5
2010,Albania,66790,1485.0,16.52,1311.17
2011,Albania,59869,1485.0,16.45,1302.63
2012,Albania,67290,1485.0,16.7,766.25
2013,Albania,69533,1485.0,17.41,982.32
1990,Albania,66667,1485.0,16.37,121.0
1991,Albania,77818,1485.0,15.36,121.0
1992,Albania,82920,1485.0,16.06,121.0
1993,Albania,98446,1485.0,16.05,121.0
1994,Albania,81404,1485.0,16.96,201.0
1995,Albania,111323,1485.0,15.67,251.0
1996,Albania,106138,1485.0,15.64,313.96
1997,Albania,109874,1485.0,15.9,376.93
1998,Albania,127212,1485.0,16.27,439.89
1999,Albania,142018,1485.0,16.57,502.86
2000,Albania,141228,1485.0,16.67,565.82
2001,Albania,148818,1485.0,16.59,628.79
2002,Albania,153868,1485.0,16.47,691.75
2004,Albania,149346,1485.0,16.16,817.68
2005,Albania,167061,1485.0,15.67,880.64
2006,Albania,170745,1485.0,15.92,943.61
2007,Albania,188902,1485.0,16.67,1006.57
2008,Albania,193878,1485.0,16.71,1069.54
2009,Albania,219780,1485.0,16.73,1132.5
2010,Albania,231111,1485.0,16.52,1311.17
2011,Albania,242211,1485.0,16.45,1302.63
2012,Albania,250538,1485.0,16.7,766.25
2013,Albania,260110,1485.0,17.41,982.32
1990,Albania,23333,1485.0,16.37,121.0
1991,Albania,28538,1485.0,15.36,121.0
1992,Albania,40000,1485.0,16.06,121.0
1993,Albania,41786,1485.0,16.05,121.0
1990,Albania,12500,1485.0,16.37,121.0
1991,Albania,6667,1485.0,15.36,121.0
1992,Albania,3747,1485.0,16.06,121.0
1990,Albania,7000,1485.0,16.37,121.0
1991,Albania,6066,1485.0,15.36,121.0
1992,Albania,4507,1485.0,16.06,121.0
1993,Albania,7998,1485.0,16.05,121.0
1994,Albania,7927,1485.0,16.96,201.0
1995,Albania,11791,1485.0,15.67,251.0
1996,Albania,15480,1485.0,15.64,313.96
1997,Albania,12768,1485.0,15.9,376.93
1998,Albania,14327,1485.0,16.27,439.89
1999,Albania,17143,1485.0,16.57,502.86
2000,Albania,15000,1485.0,16.67,565.82
2001,Albania,20000,1485.0,16.59,628.79
2002,Albania,20000,1485.0,16.47,691.75
2004,Albania,13333,1485.0,16.16,817.68
2005,Albania,17500,1485.0,15.67,880.64
2006,Albania,20000,1485.0,15.92,943.61
2007,Albania,20000,1485.0,16.67,1006.57
2008,Albania,20000,1485.0,16.71,1069.54
2009,Albania,16667,1485.0,16.73,1132.5
2010,Albania,16667,1485.0,16.52,1311.17
2011,Albania,18519,1485.0,16.45,1302.63
2012,Albania,13333,1485.0,16.7,766.25
2013,Albania,10000,1485.0,17.41,982.32
1990,Albania,30197,1485.0,16.37,121.0
1991,Albania,20698,1485.0,15.36,121.0
1992,Albania,24388,1485.0,16.06,121.0
1993,Albania,29976,1485.0,16.05,121.0
1994,Albania,24745,1485.0,16.96,201.0
1995,Albania,28703,1485.0,15.67,251.0
1996,Albania,21741,1485.0,15.64,313.96
1997,Albania,28516,1485.0,15.9,376.93
1998,Albania,28037,1485.0,16.27,439.89
1999,Albania,24954,1485.0,16.57,502.86
2000,Albania,30455,1485.0,16.67,565.82
2001,Albania,28220,1485.0,16.59,628.79
2002,Albania,31617,1485.0,16.47,691.75
2004,Albania,31130,1485.0,16.16,817.68
2005,Albania,31582,1485.0,15.67,880.64
2006,Albania,30787,1485.0,15.92,943.61
2007,Albania,35496,1485.0,16.67,1006.57
2008,Albania,40168,1485.0,16.71,1069.54
2009,Albania,40229,1485.0,16.73,1132.5
2010,Albania,39905,1485.0,16.52,1311.17
2011,Albania,42301,1485.0,16.45,1302.63
2012,Albania,41096,1485.0,16.7,766.25
2013,Albania,41292,1485.0,17.41,982.32
1990,Algeria,16500,89.0,17.48,1828.92
1991,Algeria,19231,89.0,16.26,2461.8
1992,Algeria,22828,89.0,16.27,1215.47
1993,Algeria,12500,89.0,17.0,1021.89
1994,Algeria,4512,89.0,17.88,1255.02
1995,Algeria,16115,89.0,17.36,2697.09
1996,Algeria,17154,89.0,16.76,479.77
1997,Algeria,21417,89.0,17.84,401.22
1998,Algeria,17222,89.0,17.14,322.84
1999,Algeria,22375,89.0,17.97,654.45
2000,Algeria,36186,89.0,17.9,603.67
2001,Algeria,27175,89.0,18.13,710.11
2002,Algeria,33480,89.0,17.85,816.55
2004,Algeria,31729,89.0,17.38,3747.86
2005,Algeria,33864,89.0,17.19,3662.87
2006,Algeria,65668,89.0,18.13,4110.72
2007,Algeria,85625,89.0,17.42,5390.79
2008,Algeria,44714,89.0,17.55,11556.12
2009,Algeria,30914,89.0,17.78,3867.99
2010,Algeria,25827,89.0,17.59,1295.88
2011,Algeria,23374,89.0,17.79,13861.76
2012,Algeria,25583,89.0,17.91,17379.76
2013,Algeria,33649,89.0,17.65,17278.65
1990,Algeria,78936,89.0,17.48,1828.92
1991,Algeria,90747,89.0,16.26,2461.8
1992,Algeria,107917,89.0,16.27,1215.47
1993,Algeria,111215,89.0,17.0,1021.89
1994,Algeria,95078,89.0,17.88,1255.02
1995,Algeria,136768,89.0,17.36,2697.09
1996,Algeria,134629,89.0,16.76,479.77
1997,Algeria,141042,89.0,17.84,401.22
1998,Algeria,160256,89.0,17.14,322.84
1999,Algeria,153532,89.0,17.97,654.45
2000,Algeria,166143,89.0,17.9,603.67
2001,Algeria,147018,89.0,18.13,710.11
2002,Algeria,183774,89.0,17.85,816.55
2004,Algeria,203585,89.0,17.38,3747.86
2005,Algeria,216267,89.0,17.19,3662.87
2006,Algeria,220689,89.0,18.13,4110.72
2007,Algeria,189927,89.0,17.42,5390.79
2008,Algeria,236393,89.0,17.55,11556.12
2009,Algeria,250764,89.0,17.78,3867.99
2010,Algeria,270526,89.0,17.59,1295.88
2011,Algeria,292806,89.0,17.79,13861.76
2012,Algeria,304291,89.0,17.91,17379.76
2013,Algeria,303218,89.0,17.65,17278.65
1990,Algeria,28000,89.0,17.48,1828.92
1991,Algeria,26786,89.0,16.26,2461.8
1992,Algeria,24733,89.0,16.27,1215.47
1993,Algeria,23111,89.0,17.0,1021.89
1994,Algeria,21374,89.0,17.88,1255.02
1995,Algeria,19598,89.0,17.36,2697.09
1996,Algeria,17861,89.0,16.76,479.77
1997,Algeria,15000,89.0,17.84,401.22
1998,Algeria,15000,89.0,17.14,322.84
1999,Algeria,13942,89.0,17.97,654.45
2000,Algeria,13052,89.0,17.9,603.67
2001,Algeria,12314,89.0,18.13,710.11
2002,Algeria,12959,89.0,17.85,816.55
2004,Algeria,12829,89.0,17.38,3747.86
2005,Algeria,12998,89.0,17.19,3662.87
2006,Algeria,12769,89.0,18.13,4110.72
2007,Algeria,13375,89.0,17.42,5390.79
2008,Algeria,13952,89.0,17.55,11556.12
2009,Algeria,14594,89.0,17.78,3867.99
2010,Algeria,15305,89.0,17.59,1295.88
2011,Algeria,16081,89.0,17.79,13861.76
2012,Algeria,16667,89.0,17.91,17379.76
2013,Algeria,17778,89.0,17.65,17278.65
1990,Algeria,16571,89.0,17.48,1828.92
1991,Algeria,24231,89.0,16.26,2461.8
1992,Algeria,40000,89.0,16.27,1215.47
1993,Algeria,50000,89.0,17.0,1021.89
1995,Algeria,12667,89.0,17.36,2697.09
1996,Algeria,14750,89.0,16.76,479.77
1997,Algeria,40000,89.0,17.84,401.22
1998,Algeria,24500,89.0,17.14,322.84
1999,Algeria,27000,89.0,17.97,654.45
2000,Algeria,69500,89.0,17.9,603.67
2001,Algeria,27750,89.0,18.13,710.11
2002,Algeria,33900,89.0,17.85,816.55
2004,Algeria,43316,89.0,17.38,3747.86
2005,Algeria,33486,89.0,17.19,3662.87
2006,Algeria,56728,89.0,18.13,4110.72
2007,Algeria,119059,89.0,17.42,5390.79
2008,Algeria,61786,89.0,17.55,11556.12
2009,Algeria,90465,89.0,17.78,3867.99
2010,Algeria,30286,89.0,17.59,1295.88
2011,Algeria,100000,89.0,17.79,13861.76
2012,Algeria,206000,89.0,17.91,17379.76
